,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US"
43,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY,2.27
44,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4998.32,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.27
45,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,40570.85,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.27
46,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,51104.42,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.27
47,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,55229.41,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.27
48,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,240518.48,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.27
49,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,307815.44,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.27
50,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,409377.02,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.27
51,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,618991.08,"WGL ENERGY SERVICES, INC.",DEFENSE LOGISTICS AGENCY,2.27
66,2016M01,NATURAL GAS LIQUID EXTRACTION,CHEMICALS,7966.64,LIQUIGAS SPA,DEPT OF THE ARMY,2.27
67,2016M01,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",2107.13,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.27
105,2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,GASES: COMPRESSED AND LIQUEFIED,4944.0,KEEN COMPRESSED GAS CO,DEPT OF THE NAVY,2.27
106,2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MODIFICATION OF EQUIPMENT- MISCELLANEOUS,32500.0,NATIONS GAS TECHNOLOGIES INC.,BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION,2.27
107,2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,0.0,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,2.27
108,2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,8148.77,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,2.27
109,2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,20753.36,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,2.27
143,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,27088.71,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.96
144,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,60904.84,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.96
145,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,74423.38,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.96
146,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,143486.72,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,1.96
147,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,153038.98,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,1.96
148,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,194902.43,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,1.96
149,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,297660.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,1.96
150,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,546012.4,"INTEGRYS ENERGY SERVICES - NATURAL GAS, LLC","VETERANS AFFAIRS, DEPARTMENT OF",1.96
151,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,614652.5,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY,1.96
152,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,5007.94,"INTEGRYS ENERGY SERVICES - NATURAL GAS, LLC",RAILROAD RETIREMENT BOARD,1.96
153,2016M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,31750.91,"SAGE ENERGY TRADING, LLC",RAILROAD RETIREMENT BOARD,1.96
169,2016M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,106.66,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,1.96
170,2016M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1735.44,ENERGAS SPA,DEPT OF THE ARMY,1.96
171,2016M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1989.17,LIQUIGAS SPA,DEPT OF THE ARMY,1.96
172,2016M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,15684.6,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,1.96
173,2016M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,40000.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,1.96
217,2016M02,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,3564.8,SLATER OIL COMPANY,INDIAN HEALTH SERVICE,1.96
218,2016M02,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INSTALLATION OF EQUIPMENT- MISCELLANEOUS,19978.38,C.R. POWLESS & CO. LLC,U.S. COAST GUARD,1.96
219,2016M02,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,8166323.82,HAWTHORNE SERVICES INC.,DEFENSE LOGISTICS AGENCY,1.96
220,2016M02,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MOTOR VEHICLE MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,0.0,"RMA(CAMBODIA)CO.,LTD","STATE, DEPARTMENT OF",1.96
221,2016M02,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"OILS AND GREASES: CUTTING, LUBRICATING, AND HYDRAULIC",6038.48,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.96
222,2016M02,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,35450.0,"MASS TANK INSPECTION SERIVICES, LLC",DEPT OF THE ARMY,1.96
282,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",0.0,INTERNATIONAL RESOURCES INCRIVER TRADING COMPANY LTD,DEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCY,1.7
283,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,23241.96,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.7
284,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,73199.29,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,1.7
285,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,100854.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.7
286,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,101886.63,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,1.7
287,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,103066.79,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,1.7
288,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,108002.93,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,1.7
289,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,237715.51,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.7
290,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",275357.93,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE AIR FORCE,1.7
291,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT),4870033.15,"TICOM GEOMATICS, INC.",DEPT OF THE AIR FORCE,1.7
292,2016M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,16724.06,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.7
307,2016M03,NATURAL GAS LIQUID EXTRACTION,CHEMICALS,117000.0,"TV GUY ORLANDO, LLC",DEPT OF THE NAVY,1.7
308,2016M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2668.8,LIQUIGAS SPA,DEPT OF THE ARMY,1.7
309,2016M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,10948.23,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,1.7
310,2016M03,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",112.39,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,1.7
311,2016M03,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",900.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,1.7
312,2016M03,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",8008.02,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM,1.7
373,2016M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,5475.0,THE FOURTH RIVER CO,FEDERAL PRISON SYSTEM,1.7
374,2016M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINT/REPAIR/REBUILD OF EQUIP- FIRE FIGHTING/RESCUE/SAFETY EQUIP; ENVIRON PROTECT EQUIP/MATLS,12103.73,MASSACHUSETTS FIRE TECHNOLOGIES INC,DEPT OF THE AIR FORCE,1.7
375,2016M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",13800.0,"MOUNTAIN STATES TRAILER - MONTANA, INC.",DEPT OF THE ARMY,1.7
376,2016M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MISCELLANEOUS SHIP AND MARINE EQUIPMENT,9705.6,"MARINE EQUIPMENT, INC",DEPT OF THE NAVY,1.7
428,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",0.0,"DELTA COALS, LLC",DEFENSE LOGISTICS AGENCY,1.9
429,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,18921.76,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.9
430,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,83508.31,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,1.9
431,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,241800.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,1.9
432,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,400000.0,"WGL ENERGY SERVICES, INC.",U.S. COAST GUARD,1.9
433,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"TILE, BRICK AND BLOCK",25881.12,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY,1.9
434,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,14036.0,"PPL ENERGY PLUS, LLC",DEPT OF THE ARMY,1.9
435,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,195036.79,"SAGE ENERGY TRADING, LLC",FEDERAL AVIATION ADMINISTRATION,1.9
461,2016M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,51.97,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,1.9
462,2016M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,6188.53,LIQUIGAS SPA,DEPT OF THE ARMY,1.9
463,2016M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,50000.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,1.9
464,2016M04,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",9369.0,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM,1.9
465,2016M04,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",26619.03,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.9
518,2016M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"BARGES AND LIGHTERS, CARGO",7260.0,"CROWLEY MARINE SERVICES, INC.",U.S. COAST GUARD,1.9
519,2016M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"EQUIPMENT AND MATERIALS TESTING- FUELS, LUBRICANTS, OILS, AND WAXES",4350.0,"WATERMARK ENVIRONMENTAL, INCORPORATED",DEPT OF THE AIR FORCE,1.9
520,2016M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",5234.25,"BECK OIL, INC.",DEPT OF THE NAVY,1.9
521,2016M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MARINE HARDWARE AND HULL ITEMS,14405.6,ATF INC.,DEPT OF THE NAVY,1.9
522,2016M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,0.0,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,1.9
523,2016M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,13005.94,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,1.9
524,2016M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,36240.14,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY,1.9
525,2016M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: OTHER,12500.0,PETROTECHNICAL RESOURCES OF ALASKA,BUREAU OF LAND MANAGEMENT,1.9
526,2016M04,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: OTHER,13102.0,PETROTECHNICAL RESOURCES OF ALASKA,BUREAU OF LAND MANAGEMENT,1.9
581,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,155.72,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.92
582,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,228954.18,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.92
583,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4315.48,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,1.92
584,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,49919.96,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,1.92
585,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,50733.21,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,1.92
586,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,62093.51,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.92
587,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,65305.99,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,1.92
588,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,82895.42,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,1.92
589,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,177800.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,1.92
590,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,66002.31,"ENERGY WEST RESOURCES, INC",DEPT OF THE AIR FORCE,1.92
613,2016M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,PROGAS GESELLSCHAFT MIT BESCHRANKTER HAFTUNG & CO. KOMMANDITGESELLSCHAFT,DEPT OF THE AIR FORCE,1.92
614,2016M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,3210.3,LIQUIGAS SPA,DEPT OF THE ARMY,1.92
615,2016M05,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",900.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,1.92
616,2016M05,NATURAL GAS LIQUID EXTRACTION,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MOTOR FREIGHT,21515.9,"GREEN MOUNTAIN TECHNOLOGIES, INC",DEPT OF THE ARMY,1.92
617,2016M05,NATURAL GAS LIQUID EXTRACTION,UTILITIES- GAS,6309.3,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.92
675,2016M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- LEAKING UNDERGROUND STORAGE TANK SUPPORT,41500.0,NATIONS GAS TECHNOLOGIES INC.,DEPT OF THE AIR FORCE,1.92
676,2016M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENVIRONMENTAL SYSTEMS PROTECTION- LEAKING UNDERGROUND STORAGE TANK SUPPORT,57967.71,"CALIFORNIA HAZARDOUS SERVICES, INC.","VETERANS AFFAIRS, DEPARTMENT OF",1.92
677,2016M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,133441.84,SCHLUMBERGER TECHNOLOGY CORPORATION,"ENERGY, DEPARTMENT OF",1.92
678,2016M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,53269.24,"INTERSPEC, LLC",U.S. COAST GUARD,1.92
679,2016M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,7375.0,"IRF GROUP INC, THE",US GEOLOGICAL SURVEY,1.92
730,2016M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,6117.99,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.57
731,2016M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4999.22,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.57
732,2016M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,35050.91,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.57
733,2016M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,45452.82,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.57
734,2016M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,86496.17,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.57
735,2016M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,93462.93,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.57
736,2016M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,149115.08,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.57
737,2016M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,165837.54,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.57
738,2016M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,95996.89,"ENERGY WEST RESOURCES, INC",DEPT OF THE AIR FORCE,2.57
769,2016M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,637.34,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.57
770,2016M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2746.16,LIQUIGAS SPA,DEPT OF THE ARMY,2.57
771,2016M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,5083.58,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.57
772,2016M06,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,"AMERIGAS PROPANE, L.P.AMERIGAS PROPANE, L.P.",DEPT OF THE ARMYDEPT OF THE ARMY,2.57
773,2016M06,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",9828.0,"MERRIMAC PETROLEUM, INC.",DEPT OF THE AIR FORCE,2.57
836,2016M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,EQUIPMENT AND MATERIALS TESTING- INSTRUMENTS AND LABORATORY EQUIPMENT,24940.0,SCHLUMBERGER TECHNOLOGY CORPORATION,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,2.57
837,2016M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,7890.82,"CARSON OIL CO., INC.",BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION,2.57
838,2016M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),203486.0,"HYDROCARBON WELL SERVICES, INC.",BUREAU OF LAND MANAGEMENT,2.57
839,2016M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF FUEL SUPPLY FACILITIES,3800.0,TLR SERVICES INC,U.S. COAST GUARD,2.57
840,2016M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,54871.42,"MEDRANO ZUNIGA, VICTOR D.",US GEOLOGICAL SURVEY,2.57
910,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,8781.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.79
911,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,13000.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.79
912,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",344370.65,"DELTA COALS, LLC",DEPT OF THE NAVY,2.79
913,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"FUELS, SOLID",350535.08,"DELTA COALS, LLC",DEPT OF THE NAVY,2.79
914,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4998.32,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.79
915,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,23785.59,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.79
916,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,33567.83,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.79
917,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,34231.25,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.79
918,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,95099.03,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.79
919,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,207987.32,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.79
920,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,213130.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.79
