,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US"
6327,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63
6328,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1176.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63
6329,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,5000.0,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.63
6330,2019M05,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",1115.46,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.63
6415,2019M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11548.88,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.63
6416,2019M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,12162.84,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.63
6417,2019M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,LUBRICATION AND FUEL DISPENSING EQUIPMENT,0.0,"QB FUELING, INC.",FOREST SERVICE,2.63
6418,2019M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,17850.5,"PARS CONSULTING ENGINEERS, INC.",DEPT OF THE ARMY,2.63
6457,2019M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,42433.53,"DIRECT ENERGY BUSINESS MARKETING, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.4
6458,2019M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,55444.66,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.4
6459,2019M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,136786.35,"CENTERPOINT ENERGY SERVICES, INC.","VETERANS AFFAIRS, DEPARTMENT OF",2.4
6460,2019M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,153222.27,"CENTERPOINT ENERGY SERVICES, INC.","VETERANS AFFAIRS, DEPARTMENT OF",2.4
6479,2019M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,14028.7,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.4
6480,2019M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,19172.44,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.4
6481,2019M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,30262.6,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.4
6482,2019M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,148859.72,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.4
6483,2019M06,NATURAL GAS EXTRACTION,NATURAL RESOURCES/CONSERVATION- OTHER,475.0,"AIRGAS USA, LLC",DEPT OF THE NAVY,2.4
6484,2019M06,NATURAL GAS EXTRACTION,UTILITIES- GAS,177.9,KNOXVILLE UTILITIES BOARD (INC),"VETERANS AFFAIRS, DEPARTMENT OF",2.4
6485,2019M06,NATURAL GAS EXTRACTION,UTILITIES- GAS,66947.43,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.4
6486,2019M06,NATURAL GAS EXTRACTION,UTILITIES- GAS,101004.37,"CENTERPOINT ENERGY SERVICES, INC.","VETERANS AFFAIRS, DEPARTMENT OF",2.4
