naics_description,product_or_service_code_description,award_base_action_date,total_obligated_amount
CRUDE PETROLEUM EXTRACTION,EQUIPMENT AND MATERIALS TESTING- PUMPS AND COMPRESSORS,2019M01,10710.06
CRUDE PETROLEUM EXTRACTION,FOOD PRODUCTS MACHINERY AND EQUIPMENT,2018M12,7199.85
CRUDE PETROLEUM EXTRACTION,FUEL OILS,2018M02,12400.31
CRUDE PETROLEUM EXTRACTION,FUEL OILS,2018M04,14944.53
CRUDE PETROLEUM EXTRACTION,FUEL OILS,2018M09,14879.52
CRUDE PETROLEUM EXTRACTION,"GENERATORS AND GENERATOR SETS, ELECTRICAL",2019M01,15351.12
CRUDE PETROLEUM EXTRACTION,"HAND TOOLS, NONEDGED, NONPOWERED",2017M11,20657.7
CRUDE PETROLEUM EXTRACTION,HOSE AND FLEXIBLE TUBING,2018M07,174169.4
CRUDE PETROLEUM EXTRACTION,HOSE AND FLEXIBLE TUBING,2018M12,5738.0
CRUDE PETROLEUM EXTRACTION,"HOSE, PIPE, TUBE, LUBRICATION, AND RAILING FITTINGS",2019M01,2794.0
CRUDE PETROLEUM EXTRACTION,INFORMATION TECHNOLOGY INPUT/OUTPUT AND STORAGE DEVICES,2020M09,18598.0
CRUDE PETROLEUM EXTRACTION,INFORMATION TECHNOLOGY SUPPLIES,2018M01,45500.0
CRUDE PETROLEUM EXTRACTION,INFORMATION TECHNOLOGY SUPPLIES,2019M02,9725.0
CRUDE PETROLEUM EXTRACTION,INSTALLATION OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,2017M11,3364.49
CRUDE PETROLEUM EXTRACTION,IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS,2018M09,1137105.58
CRUDE PETROLEUM EXTRACTION,IT AND TELECOM- OPTICAL SCANNING,2018M04,113281.36
CRUDE PETROLEUM EXTRACTION,"LEASE OR RENTAL OF EQUIPMENT- CONSTRUCTION, MINING, EXCAVATING, AND HIGHWAY MAINTENANCE EQUIPMENT",2018M03,17295.0
CRUDE PETROLEUM EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",2019M11,279262.44
CRUDE PETROLEUM EXTRACTION,LUMBER AND RELATED BASIC WOOD MATERIALS,2018M07,0.0
CRUDE PETROLEUM EXTRACTION,MISCELLANEOUS ELECTRIC POWER AND DISTRIBUTION EQUIPMENT,2018M04,35892.98
CRUDE PETROLEUM EXTRACTION,MISCELLANEOUS ENGINES AND COMPONENTS,2019M03,41100.0
CRUDE PETROLEUM EXTRACTION,MISCELLANEOUS SHIP AND MARINE EQUIPMENT,2018M07,15950.0
CRUDE PETROLEUM EXTRACTION,OPERATION OF FUEL STORAGE BUILDINGS,2020M09,68703.01
CRUDE PETROLEUM EXTRACTION,POWER AND HAND PUMPS,2018M01,5350.0
CRUDE PETROLEUM EXTRACTION,PRESERVATIVE AND SEALING COMPOUNDS,2018M03,79772.0
CRUDE PETROLEUM EXTRACTION,RUBBER FABRICATED MATERIALS,2019M05,595.0
CRUDE PETROLEUM EXTRACTION,SAFETY AND RESCUE EQUIPMENT,2018M09,183211.25
CRUDE PETROLEUM EXTRACTION,SCREWS,2020M05,1260.0
CRUDE PETROLEUM EXTRACTION,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,2020M09,296822.74
CRUDE PETROLEUM EXTRACTION,TEXTILE FABRICS,2020M07,7920.0
CRUDE PETROLEUM EXTRACTION,"TRACTOR, FULL TRACKED, LOW SPEED",2018M09,122541.72
CRUDE PETROLEUM EXTRACTION,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: AIR FREIGHT,2019M01,408.47
CRUDE PETROLEUM EXTRACTION,UTILITIES- ELECTRIC,2018M05,1476.4
CRUDE PETROLEUM EXTRACTION,UTILITIES- WATER,2019M09,127000.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2017M10,5000.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,HOUSEKEEPING- SNOW REMOVAL/SALT,2016M02,2995.9
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,2016M06,30183.9
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M01,9450.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M02,6000.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M04,11389.4
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M04,609927.7
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,56165.61
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,12012.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,13035.75
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M09,9996.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M09,38910.96
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M03,16479.75
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M07,19741.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M07,99000.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M09,7398.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2017M11,35990.4
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M06,12286.06
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M07,50064.71
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M08,34000.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2018M08,98480.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M06,168311.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2019M06,226540.44
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M04,93459.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M05,0.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M05,13650.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M06,410782.74
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M07,0.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2020M08,145792.48
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M03,0.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M04,0.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M04,22125.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M04,82138.86
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2021M09,86998.5
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERALS, NATURAL AND SYNTHETIC",2017M10,4594.5
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",2017M03,7500.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",2020M03,24306.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,MISCELLANEOUS CONSTRUCTION MATERIALS,2016M07,699799.22
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,MISCELLANEOUS CONSTRUCTION MATERIALS,2019M04,52204.76
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,MISCELLANEOUS CONSTRUCTION MATERIALS,2021M02,168372.5
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,NATURAL RESOURCES/CONSERVATION- OTHER,2018M07,344250.0
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"OPERATION OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",2016M08,6831.84
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"PURCHASE OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",2016M10,14848.14
CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,REPAIR OR ALTERATION OF SURFACE MINE RECLAMATION FACILITIES,2017M09,576647.6
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,ADDITIVE METAL MATERIALS,2016M09,1634940.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,ARCHITECT AND ENGINEERING- CONSTRUCTION: DAMS,2020M05,36533.25
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",2018M04,379724.38
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,ARCHITECT AND ENGINEERING- GENERAL: OTHER,2020M09,93211.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"BUILDING COMPONENTS, PREFABRICATED",2020M11,24500.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2016M08,5302.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2017M04,0.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2019M02,22926.48
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2019M02,58536.55
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2020M11,6000.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2020M11,199576.93
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY,2021M05,18000.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,2016M09,10428.69
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,2021M09,61744.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,CONSTRUCTION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),2016M09,20359.88
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"DISKS AND STONES, ABRASIVE",2016M04,0.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"DISKS AND STONES, ABRASIVE",2016M08,5556.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,FORAGE AND FEED,2017M05,5972.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"HARDWARE, COMMERCIAL",2017M12,7800.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,KITCHEN EQUIPMENT AND APPLIANCES,2017M09,6331.41
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF DAMS,2017M05,24750.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF DAMS,2019M03,77250.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF DAMS,2020M09,106718.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,2016M02,1074.2
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,2016M02,1161.3
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,2016M05,3984.3
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,2016M06,1978.51
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,2016M09,15000.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,2017M02,1043.35
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,2017M06,1175.15
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,2017M07,7483.88
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,2017M08,9911.26
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,2020M06,53950.36
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF OTHER CONSERVATION AND DEVELOPMENT FACILITIES,2016M08,11577.37
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MAINTENANCE OF OTHER CONSERVATION AND DEVELOPMENT FACILITIES,2018M06,191821.66
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M01,2105.68
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M01,10300.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M01,11653.58
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M01,25444.95
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M01,29409.24
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M01,39967.31
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M01,150240.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M02,0.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M02,13297.88
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M02,53427.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M02,435974.4
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M03,0.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M03,4364.09
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M03,10487.24
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M03,32352.03
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M03,102994.81
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M04,0.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M04,5119.92
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M04,5909.99
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M04,7860.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M04,11367.69
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M04,12386.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M04,17119.22
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M04,25585.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M04,29994.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,0.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,6512.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,10201.77
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,12779.81
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,15700.93
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,15764.3
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,16909.8
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,33205.87
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,33245.73
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,34997.2
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,78560.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,92800.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,145274.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M05,666345.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,867.6
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,1784.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,1887.2
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,10043.78
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,10465.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,11102.43
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,17550.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,17566.88
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,17577.5
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,17940.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,22796.5
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,31215.5
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,33686.91
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,81327.6
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,117113.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,143990.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,160017.97
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M06,208901.32
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,4892.75
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,10000.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,11960.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,13166.99
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,21109.73
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,24101.51
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,25531.95
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,49720.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,75072.03
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,100050.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,315732.5
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M07,465160.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,0.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,7108.11
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,7987.41
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,9420.2
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,9818.3
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,11963.18
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,12000.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,14368.34
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,15952.55
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,19995.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,21560.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,22500.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,23960.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,24182.25
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,24928.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,25998.07
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,37418.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,42843.52
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,50718.31
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,56797.07
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,72700.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,158029.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,167500.0
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M08,2875544.36
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M09,670.2
CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2016M09,1866.6
