total_obligated_amount,Month,product_or_service_code_description,naics_description,recipient_name,funding_sub_agency_name
2261.0,2016M09,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,TRANSUPPORT INC,DEFENSE LOGISTICS AGENCY
24972.0,2020M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
0.0,2016M08,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",NATURAL GAS LIQUID EXTRACTION,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY
0.0,2016M09,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"E.M. OIL TRANSPORT, INC.",DEPT OF THE ARMY
182282.5,2018M09,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"PALMERTON & PARRISH, INC.",DEPT OF THE ARMY
210385.08,2018M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,BAYWA AKTIENGESELLSCHAFT,DEPT OF THE ARMY
444.61,2018M12,"FUELS, SOLID",SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE NAVY
0.0,2018M03,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,BDS SUPPLY,DEFENSE LOGISTICS AGENCY
664.0,2017M12,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
7355.4,2018M05,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,A & S SKILL MACHINIST INC,DEFENSE LOGISTICS AGENCY
859.5,2018M04,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
21820.49,2017M08,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY
219.5,2016M07,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"WESTERN DIESEL SERVICES, INC.",DEFENSE LOGISTICS AGENCY
