total_obligated_amount,award_base_action_date,period_of_performance_start_date,period_of_performance_current_end_date,period_of_performance_potential_end_date,funding_sub_agency_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_code,product_or_service_code,product_or_service_code_description,naics_code,naics_description
467253.62,2/8/2016,2/8/2016,4/30/2016 0:00,4/30/2016 0:00,DEPT OF THE NAVY,"DELTA COALS, LLC",NASHVILLE,DAVIDSON,TN,9110,"FUELS, SOLID",212112,BITUMINOUS COAL UNDERGROUND MINING
4877.4,8/1/2019,8/1/2019,9/3/2019 0:00,9/3/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
420.74,2/8/2018,2/8/2018,8/27/2018 0:00,8/27/2018 0:00,DEFENSE LOGISTICS AGENCY,KLX AEROSPACE SOLUTIONS DEFENSE LLC,O FALLON,ST. CHARLES,MO,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
34945,2/2/2018,2/2/2018,2/8/2018 0:00,2/8/2018 0:00,DEPT OF THE AIR FORCE,"CHEMCO INDUSTRIES, INC.",SAINT LOUIS,ST. LOUIS (CITY),MO,9620,"MINERALS, NATURAL AND SYNTHETIC",212393,OTHER CHEMICAL AND FERTILIZER MINERAL MINING
13730,7/12/2019,7/12/2019,7/12/2019 0:00,7/12/2019 0:00,DEPT OF THE ARMY,"WILLARD QUARRIES, INC.",LEBANON,LACLEDE,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
263615.5,1/12/2018,1/12/2018,8/15/2019 0:00,8/15/2019 0:00,FEDERAL HIGHWAY ADMINISTRATION,"HAZ-TECH DRILLING, INC.",MERIDIAN,ADA,ID,F015,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,213115,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS)
19468.98,9/8/2015,9/8/2015,3/10/2017 0:00,3/10/2017 0:00,U.S. FISH AND WILDLIFE SERVICE,"CALLENDER CONSTRUCTION COMPANY, INC.",PITTSFIELD,PIKE,IL,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
1172.64,11/9/2016,11/9/2016,11/29/2016 0:00,11/29/2016 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
15059,9/12/2018,9/12/2018,1/22/2019 0:00,1/22/2019 0:00,DEFENSE LOGISTICS AGENCY,KAMATICS CORPORATION,BLOOMFIELD,HARTFORD,CT,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
2744,1/12/2021,1/12/2021,8/10/2021 0:00,8/10/2021 0:00,DEFENSE LOGISTICS AGENCY,"PIONEER INDUSTRIES, INC.",FARMINGDALE,SUFFOLK,NY,5330,PACKING AND GASKET MATERIALS,213113,SUPPORT ACTIVITIES FOR COAL MINING
