total_obligated_amount,award_base_action_date,period_of_performance_start_date,period_of_performance_current_end_date,period_of_performance_potential_end_date,funding_sub_agency_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_code,product_or_service_code,product_or_service_code_description,naics_code,naics_description
10000,9/26/2016,9/26/2016,10/31/2016 0:00,10/31/2016 0:00,DEPT OF THE NAVY,"AMERIGAS PROPANE, L.P.",KING OF PRUSSIA,MONTGOMERY,PA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
1384.98,2/18/2016,2/18/2016,4/5/2016 0:00,4/5/2016 0:00,FEDERAL PRISON SYSTEM,"BRAATEN SAND & GRAVEL, INC",BYRON,OLMSTED,MN,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
542491.46,5/12/2017,5/12/2017,7/11/2017 0:00,8/10/2017 0:00,DEFENSE LOGISTICS AGENCY,"POND CONSTRUCTORS, INC",NORCROSS,GWINNETT,GA,Z1NA,MAINTENANCE OF FUEL SUPPLY FACILITIES,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
21764.63,3/4/2016,3/4/2016,3/17/2016 0:00,3/17/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,H999,OTHER QC/TEST/INSPECT- MISCELLANEOUS,212321,CONSTRUCTION SAND AND GRAVEL MINING
256800,12/5/2020,12/5/2020,12/27/2020 0:00,12/27/2020 0:00,DEPT OF THE ARMY,FOREIGN AWARDEES (UNDISCLOSED),WASHINGTON,DISTRICT OF COLUMBIA,DC,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
11202.24,9/3/2015,9/3/2015,12/31/2018 0:00,12/31/2018 0:00,FOREST SERVICE,"GREER INDUSTRIES, INC.",RIVERTON,PENDLETON,WV,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
5690.52,2/15/2019,2/15/2019,3/18/2019 0:00,3/18/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
0,8/9/2013,8/6/2013,,,DEPT OF THE ARMY,"PARK CITY STONE, LLC",CAVE CITY,HART,KY,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
60604.51,6/28/2017,6/28/2017,7/31/2017 0:00,7/31/2017 0:00,BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION,"BRIMHALL SAND, ROCK & BUILDING MATERIALS",TAYLOR,NAVAJO,AZ,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
217856.72,9/1/2010,9/1/2010,,,BUREAU OF LAND MANAGEMENT,"SAFETY-KLEEN SYSTEMS, INC.",PLANO,COLLIN,TX,F108,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
1819.63,5/3/2021,5/3/2021,5/5/2021 0:00,5/5/2021 0:00,DEPT OF THE AIR FORCE,OHIO GENERAL CONTRACTING LLC,ABU DHABI,,,3895,MISCELLANEOUS CONSTRUCTION EQUIPMENT,212321,CONSTRUCTION SAND AND GRAVEL MINING
78734,12/10/2015,12/10/2015,4/5/2016 0:00,4/5/2016 0:00,FEDERAL HIGHWAY ADMINISTRATION,"HAZ-TECH DRILLING, INC.",MERIDIAN,ADA,ID,F015,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,213115,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS)
561.7,1/23/2018,1/23/2018,8/13/2018 0:00,8/13/2018 0:00,DEFENSE LOGISTICS AGENCY,JAMAICA BEARINGS CO INC,NEW HYDE PARK,NASSAU,NY,3110,"BEARINGS, ANTIFRICTION, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
599.6,4/26/2017,4/27/2017,5/15/2017 0:00,5/15/2017 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
109.44,12/29/2016,12/29/2016,1/18/2017 0:00,1/18/2017 0:00,DEFENSE LOGISTICS AGENCY,GEORGIA WATER SPORTS LLC,MILLEDGEVILLE,BALDWIN,GA,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
739.59,11/30/2017,11/30/2017,2/15/2018 0:00,2/15/2018 0:00,DEFENSE LOGISTICS AGENCY,KLX AEROSPACE SOLUTIONS DEFENSE LLC,O FALLON,ST. CHARLES,MO,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
6320.86,6/11/2018,6/11/2018,7/30/2018 0:00,7/30/2018 0:00,"STATE, DEPARTMENT OF",ACHEAMPONG METAL WORKS,ACCRA,,,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
6872.28,9/10/2020,9/11/2020,9/30/2020 0:00,9/30/2020 0:00,PUBLIC BUILDINGS SERVICE,LAUREL FUEL OIL & HEATING CO INC,LAUREL,PRINCE GEORGE'S,MD,9140,FUEL OILS,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
250334.15,9/9/2021,9/8/2021,1/1/2022 0:00,1/1/2022 0:00,DEPT OF THE AIR FORCE,SOCIEDAD ESPANOLA DE MONTAJES INDUSTRIALES SA,MADRID,,,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
499.68,2/7/2019,2/7/2019,8/6/2019 0:00,8/6/2019 0:00,DEFENSE LOGISTICS AGENCY,BASIC RUBBER AND PLASTICS CO.,WALLED LAKE,OAKLAND,MI,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
6960,1/9/2017,1/9/2017,2/10/2017 0:00,2/10/2017 0:00,INDIAN HEALTH SERVICE,SLATER OIL COMPANY,MOBRIDGE,WALWORTH,SD,9140,FUEL OILS,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
7520,2/15/2017,2/15/2017,5/16/2017 0:00,5/16/2017 0:00,DEFENSE LOGISTICS AGENCY,KAMATICS CORPORATION,BLOOMFIELD,HARTFORD,CT,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
5290.67,1/31/2017,1/31/2017,3/20/2017 0:00,3/20/2017 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,5670,"BUILDING COMPONENTS, PREFABRICATED",212321,CONSTRUCTION SAND AND GRAVEL MINING
33593.68,10/27/2016,10/27/2016,10/27/2016 0:00,10/27/2016 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
3735.8,11/23/2016,11/23/2016,11/23/2016 0:00,11/23/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
154776.76,5/10/2017,5/9/2017,5/15/2017 0:00,5/15/2017 0:00,DEPT OF THE ARMY,KLA CONSTRUCTION SERVICE LLC,LAS VEGAS,CLARK,NV,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
594,11/7/2018,11/7/2018,4/26/2019 0:00,4/26/2019 0:00,DEFENSE LOGISTICS AGENCY,AMERI-CUT SOLUTIONS INC.,CONROE,MONTGOMERY,TX,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
550,12/21/2015,12/21/2015,2/22/2016 0:00,2/22/2016 0:00,DEFENSE LOGISTICS AGENCY,GALAXY DIE & ENGINEERING INC,SANTA CLARITA,LOS ANGELES,CA,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
22350,9/22/2017,9/22/2017,10/22/2017 0:00,10/22/2017 0:00,DEPT OF THE ARMY,R.L. BAKER TRUCKING LLC,IBERIA,MILLER,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
96364,4/23/2019,4/23/2019,5/22/2019 0:00,5/22/2019 0:00,MARITIME ADMINISTRATION,"POTEN & PARTNERS, INC.",NEW YORK,NEW YORK,NY,AG21,R&D- ENERGY: GAS (BASIC RESEARCH),211130,NATURAL GAS EXTRACTION
20000,9/13/2018,9/13/2018,9/12/2019 0:00,9/12/2019 0:00,NATIONAL PARK SERVICE,KERNEN CONSTRUCTION,MCKINLEYVILLE,HUMBOLDT,CA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
89550,8/10/2016,8/10/2016,9/1/2016 0:00,9/1/2016 0:00,BUREAU OF RECLAMATION,AMERICAN CLASSIC CONSTRUCTION INC.,CHATSWORTH,LOS ANGELES,CA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
24506.33,3/1/2018,3/1/2018,3/5/2018 0:00,3/27/2018 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,5975,ELECTRICAL HARDWARE AND SUPPLIES,212321,CONSTRUCTION SAND AND GRAVEL MINING
98,2/24/2021,2/24/2021,3/6/2021 0:00,3/6/2021 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
11035.49,7/26/2017,7/26/2017,8/19/2017 0:00,8/19/2017 0:00,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,ROGERS PETROLEUM INC.,MORRISTOWN,HAMBLEN,TN,9130,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",211112,NATURAL GAS LIQUID EXTRACTION
3929.8,11/24/2015,11/23/2015,12/29/2015 0:00,12/29/2015 0:00,DEPT OF THE ARMY,"JS SDVO, LLC",KANNAPOLIS,CABARRUS,NC,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
147773.57,10/28/2020,11/1/2020,11/30/2020 0:00,11/30/2020 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
563.5,5/8/2020,5/8/2020,10/5/2020 0:00,10/5/2020 0:00,DEFENSE LOGISTICS AGENCY,ULTRA INDUSTRIES INC.,WYOMING,CHISAGO,MN,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
197447.11,10/1/2018,10/1/2018,9/30/2019 0:00,9/30/2019 0:00,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,WASHINGTON GAS ENERGY SERVICES INC,HERNDON,FAIRFAX,VA,S111,UTILITIES- GAS,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
10346.29,3/27/2015,3/27/2015,12/31/2015 0:00,12/31/2015 0:00,BUREAU OF LAND MANAGEMENT,LE GRAND JOHNSON CONSTRUCTION CO,LOGAN,CACHE,UT,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
52572,1/28/2021,1/28/2021,2/17/2021 0:00,2/17/2021 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ERIE,ERIE,PA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
3358,7/18/2005,7/18/2005,8/31/2005 0:00,8/31/2005 0:00,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,BLUE ROCK INDUSTRIES,WESTBROOK,CUMBERLAND,ME,,,212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
127568,11/13/2019,11/13/2019,1/30/2020 0:00,1/30/2020 0:00,DEPT OF THE ARMY,"PALMERTON & PARRISH, INC.",SPRINGFIELD,GREENE,MO,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,213115,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS)
1404.9,6/15/2021,6/15/2021,8/17/2021 0:00,8/17/2021 0:00,DEFENSE LOGISTICS AGENCY,ALLIED TOOLS INC.,LOUISVILLE,JEFFERSON,KY,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
41143.76,8/18/2015,8/18/2015,5/26/2016 0:00,5/26/2016 0:00,BUREAU OF RECLAMATION,"BILL BALTRUSCH CONSTRUCTION, INC.",HAVRE,HILL,MT,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212322,INDUSTRIAL SAND MINING
4907.25,6/20/2016,6/20/2016,6/22/2016 0:00,6/22/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
1562.56,1/16/2020,1/16/2020,2/18/2020 0:00,2/18/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
0,8/29/2016,8/29/2016,9/19/2016 0:00,9/19/2016 0:00,DEFENSE LOGISTICS AGENCY,REID PRODUCTS INC.,APPLE VALLEY,SAN BERNARDINO,CA,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
196,12/7/2020,12/7/2020,12/17/2020 0:00,12/17/2020 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
186319.12,6/8/2017,10/1/2017,10/31/2021 0:00,10/31/2021 0:00,BUREAU OF LAND MANAGEMENT,REDD ENGINEERING & CONSTRUCTION INC,SALT LAKE CITY,SALT LAKE,UT,F111,ENVIRONMENTAL SYSTEMS PROTECTION- MULTIPLE POLLUTANT SUPPORT,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
193563.78,5/5/2021,5/5/2021,6/9/2021 0:00,6/9/2021 0:00,DEPT OF THE ARMY,RAWAN ALFARAH COMPANY,BAGHDAD,,,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
250,10/27/2020,10/27/2020,11/30/2020 0:00,11/30/2020 0:00,DEFENSE LOGISTICS AGENCY,CTN MACHINING,SAN JOSE,SANTA CLARA,CA,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
15939.56,4/27/2016,4/28/2016,7/31/2016 0:00,7/31/2016 0:00,DEPT OF THE NAVY,BLUE ROCK STRUCTURES INC.,POLLOCKSVILLE,JONES,NC,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
0,11/26/2019,12/1/2019,,,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,2850,GASOLINE ROTARY ENGINES AND COMPONENTS,211130,NATURAL GAS EXTRACTION
4837.4,10/19/2018,10/19/2018,11/19/2018 0:00,11/19/2018 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
644.4,10/10/2019,10/10/2019,11/19/2019 0:00,11/19/2019 0:00,DEFENSE LOGISTICS AGENCY,GRUP TEKNIK HIRDAVAT VE OTOMOTIV SANAYI LIMITED SIRKETI,ANKARA,,,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
428.45,10/17/2016,10/17/2016,1/3/2017 0:00,1/3/2017 0:00,DEFENSE LOGISTICS AGENCY,"STAMCO AEROSPACE, INC.",BENSALEM,BUCKS,PA,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
2037,3/22/2017,3/22/2017,4/6/2017 0:00,4/6/2017 0:00,DEFENSE LOGISTICS AGENCY,"BROWN HELICOPTER, INC.",PENSACOLA,ESCAMBIA,FL,3110,"BEARINGS, ANTIFRICTION, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
9914.22,6/8/2020,6/8/2020,10/20/2022 0:00,10/20/2022 0:00,FOREST SERVICE,"SOUTHERN WEST VIRGINIA ASPHALT, INC",DUNBAR,KANAWHA,WV,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
98,1/28/2019,1/28/2019,2/7/2019 0:00,2/7/2019 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
4158,10/30/2015,10/30/2015,1/28/2016 0:00,1/28/2016 0:00,DEFENSE LOGISTICS AGENCY,BASIC RUBBER AND PLASTICS CO.,WALLED LAKE,OAKLAND,MI,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
12349.8,1/26/2016,2/1/2016,2/29/2016 0:00,2/29/2016 0:00,FEDERAL PRISON SYSTEM,"R.B.S., INC.",TERRE HAUTE,VIGO,IN,S218,HOUSEKEEPING- SNOW REMOVAL/SALT,212393,OTHER CHEMICAL AND FERTILIZER MINERAL MINING
24764.03,9/14/2021,9/14/2021,12/31/2021 0:00,12/31/2021 0:00,U.S. FISH AND WILDLIFE SERVICE,VULCAN MATERIALS COMPANY,BIRMINGHAM,JEFFERSON,AL,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
0,12/29/2014,12/29/2014,6/8/2015 0:00,6/8/2015 0:00,DEFENSE LOGISTICS AGENCY,"DEFENSE STAMPINGS AND ENGINEERING, INC",PENSACOLA,ESCAMBIA,FL,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
14400,12/18/2020,12/18/2020,3/18/2021 0:00,3/18/2021 0:00,DEFENSE LOGISTICS AGENCY,RIX INDUSTRIES,BENICIA,SOLANO,CA,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
240000,3/12/2020,3/12/2020,6/30/2020 0:00,6/30/2020 0:00,FOREST SERVICE,"MONTEZUMA, COUNTY OF",CORTEZ,MONTEZUMA,CO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
1853.25,10/26/2016,10/26/2016,11/28/2016 0:00,11/28/2016 0:00,DEFENSE LOGISTICS AGENCY,UNICAL DEFENSE INC.,CITY OF INDUSTRY,LOS ANGELES,CA,5310,NUTS AND WASHERS,213113,SUPPORT ACTIVITIES FOR COAL MINING
771.9,5/8/2019,5/8/2019,10/25/2019 0:00,10/25/2019 0:00,DEFENSE LOGISTICS AGENCY,APEX PINNACLE CORP.,BINGHAMTON,BROOME,NY,3110,"BEARINGS, ANTIFRICTION, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
7904.4,5/14/2020,5/14/2020,6/15/2020 0:00,6/15/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
23497.23,5/31/2019,5/31/2019,6/29/2019 0:00,6/29/2019 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1EB,CONSTRUCTION OF MAINTENANCE BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
83253.51,7/8/2021,6/21/2021,6/25/2021 0:00,6/25/2021 0:00,DEPT OF THE ARMY,BARNREUTHER+DEUERLEIN SCHOTTERWERKE GMBH & CO.KG,POSTBAUER-HENG,,,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
987.4,6/13/2018,6/13/2018,6/21/2018 0:00,6/21/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8955,"COFFEE, TEA, AND COCOA",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
95099.03,7/27/2016,7/26/2016,9/30/2016 0:00,9/30/2016 0:00,DEPT OF THE ARMY,"ATMOS ENERGY MARKETING, LLC",HOUSTON,HARRIS,TX,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
858.52,10/18/2019,10/18/2019,11/18/2019 0:00,11/18/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
127.52,5/22/2020,5/22/2020,6/26/2020 0:00,6/26/2020 0:00,DEFENSE LOGISTICS AGENCY,AMERICAN DEFENSE GROUP LLC,FORT LAUDERDALE,BROWARD,FL,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
11380,4/29/2020,4/29/2020,9/28/2020 0:00,9/28/2020 0:00,DEFENSE LOGISTICS AGENCY,"TRIMAN INDUSTRIES, INC.",WEST BERLIN,CAMDEN,NJ,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
21168,2/21/2020,2/21/2020,2/8/2021 0:00,2/8/2021 0:00,DEFENSE LOGISTICS AGENCY,"ECI DEFENSE GROUP, INC.",LYLES,HICKMAN,TN,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
53500,5/21/2019,5/21/2019,5/22/2019 0:00,5/22/2019 0:00,DEPT OF THE NAVY,CINDERLITE TRUCKING CORPORATION,CARSON CITY,CARSON CITY (CITY),NV,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
29324677.96,7/25/2014,7/28/2014,3/4/2019 0:00,3/4/2019 0:00,DEFENSE LOGISTICS AGENCY,TETRA TECH-MAYTAG AIRCRAFT CORPORATION JOINT VENTURE,PASADENA,LOS ANGELES,CA,Z1NA,MAINTENANCE OF FUEL SUPPLY FACILITIES,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
141750,4/16/2020,4/16/2020,5/7/2020 0:00,5/7/2020 0:00,DEPT OF THE ARMY,DOLESE BROS. CO.,OKLAHOMA CITY,OKLAHOMA,OK,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
369996.82,9/30/2020,9/30/2020,9/29/2021 0:00,9/29/2021 0:00,DEPT OF THE AIR FORCE,"J BROTHERS TRUCKING & EXCAVATION, LLC",ROOSEVELT,DUCHESNE,UT,F011,NATURAL RESOURCES/CONSERVATION- SURFACE MINING RECLAMATION (NON-CONSTRUCTION),212321,CONSTRUCTION SAND AND GRAVEL MINING
4968,1/30/2017,1/30/2017,1/30/2017 0:00,1/30/2017 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,4120,AIR CONDITIONING EQUIPMENT,212234,COPPER ORE AND NICKEL ORE MINING
2086.72,8/21/2018,8/21/2018,9/20/2018 0:00,9/20/2018 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5330,PACKING AND GASKET MATERIALS,213113,SUPPORT ACTIVITIES FOR COAL MINING
0,10/31/2019,11/1/2019,11/30/2019 0:00,11/30/2019 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
1339.6,10/13/2020,10/13/2020,3/12/2021 0:00,3/12/2021 0:00,DEFENSE LOGISTICS AGENCY,"HYDRAULICS INTERNATIONAL, INC.",CHATSWORTH,LOS ANGELES,CA,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
43400,12/5/2016,12/6/2016,1/5/2017 0:00,1/5/2017 0:00,DEPT OF THE ARMY,MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,3590,MISCELLANEOUS SERVICE AND TRADE EQUIPMENT,212321,CONSTRUCTION SAND AND GRAVEL MINING
16349.42,8/16/2019,8/16/2019,1/9/2020 0:00,1/9/2020 0:00,U.S. FISH AND WILDLIFE SERVICE,"GULF HOLDINGS, LLC",NEW ORLEANS,ORLEANS,LA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
762.5,7/3/2018,7/3/2018,10/9/2018 0:00,10/9/2018 0:00,DEFENSE LOGISTICS AGENCY,JUNIPER ELBOW CO. INC.,MIDDLE VILLAGE,QUEENS,NY,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
133441.84,5/16/2016,5/16/2016,12/31/2017 0:00,12/31/2017 0:00,"ENERGY, DEPARTMENT OF",SCHLUMBERGER TECHNOLOGY CORPORATION,SUGAR LAND,FORT BEND,TX,7030,INFORMATION TECHNOLOGY SOFTWARE,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
